Designator,Footprint,Quantity,Value,Manufacturer,Partnumber,LCSC Part #
ANT1,ANT-SMD_3P-L6.0-W2.0_M620720,1,,KYOCERA AVX,M620720,C5110126
B1,BAT-TH_CR2032-BS-6-1,1,,Q&J,CR2032-BS-6-1,C70377
"C1, C2",C0402,2,5.6pF 50V C0G,Murata Electronics,GJM1555C1H5R6BB01D,C161329
"C3, C6",C0402,2,4.7µF ±10% 10V X5R,Murata Electronics,GRM155R61A475KEAAD,C77004
"C4, C5, C7, C8",C0402,4,100nF ±10% 50V X7R,YAGEO,CC0402KRX7R9BB104,C131394
C9,C0603,1,22µF ±20% 6.3V X5R,YAGEO,CC0603MRX5R5BB226,C109448
H1,HDR-TH_5P-P2.54-V-M,1,,Ckmtw,B-2100S05P-A110,C124379
L1,L0603,1,10µH ±20% 30MHz 50mA 1.17Ω,Murata Electronics,LQM18FN100M00D,C86083
"L2, L3, L4",L0402,3,,Murata Electronics,BLM15PD121SN1D,C76891
L5,L0402,1,4.3nH 6GHz 750mA 140mΩ,Murata Electronics,LQG15HS4N3S02D,C97999
LED1,LED0603-RD,1,,Everlight Elec,19-217/GHC-YR1S2/3T,C72043
"R1, R3",R0402,2,10kΩ ±1% 62.5mW,YAGEO,RC0402FR-0710KL,C60490
R2,R0402,1,,Murata Electronics,NCP15XH103F03RC,C77131
R4,R0402,1,1kΩ ±5% 62.5mW,YAGEO,RC0402JR-071KL,C105637
"R5, R6",R0402,2,4.7kΩ ±5% 62.5mW,YAGEO,RC0402JR-074K7L,C105870
U1,LGA-73_L12.0-W12.0-P0.60-TL,1,,RAKwireless,RAK3172-SIP-8-SM-NI,C19818882
U2,SOT-23-5_L2.9-W1.5-P0.95-LS2.8-BL,1,,FMD,FT24C02A-KLR-T,C5189122
U3,WSON-6_L3.0-W3.0-P1.00-TL-EP,1,,Texas Instruments,HDC2080DMBR,C918141
U4,LGA-16_L3.0-W3.0-P0.50-TL,1,,STMicroelectronics,LIS3DHTR,C15134
U5,LGA-14_L3.0-W2.5-P0.50-BR,1,,QST,QMI8658C,C2842151
